comp-char	common-char	comp-code	common-code	level	flag
⾚	赤	U+2F9A	U+8D64	#	
⾛	走	U+2F9B	U+8D70	#	
⾜	足	U+2F9C	U+8DB3	#	
⾝	身	U+2F9D	U+8EAB	#	
⾞	車	U+2F9E	U+8ECA	#	
⾟	辛	U+2F9F	U+8F9B	#	
⾠	辰	U+2FA0	U+8FB0	#	
⾡	辵	U+2FA1	U+8FB5	#	
⾢	邑	U+2FA2	U+9091	#	
⾣	酉	U+2FA3	U+9149	#	
⾤	釆	U+2FA4	U+91C6	#	
⾥	里	U+2FA5	U+91CC	#	
⾦	金	U+2FA6	U+91D1	#	
⾧	長	U+2FA7	U+9577	#	
⾨	門	U+2FA8	U+9580	#	
⾩	阜	U+2FA9	U+961C	#	
⾪	隶	U+2FAA	U+96B6	#	
⾫	隹	U+2FAB	U+96B9	#	
⾬	雨	U+2FAC	U+96E8	#	
⾭	靑	U+2FAD	U+9751	#	
⾮	非	U+2FAE	U+975E	#	
⾯	面	U+2FAF	U+9762	#	
⾰	革	U+2FB0	U+9769	#	
⾱	韋	U+2FB1	U+97CB	#	
⾲	韭	U+2FB2	U+97ED	#	
⾳	音	U+2FB3	U+97F3	#	
⾴	頁	U+2FB4	U+9801	#	
⾵	風	U+2FB5	U+98A8	#	
⾶	飛	U+2FB6	U+98DB	#	
⾷	食	U+2FB7	U+98DF	#	
⾸	首	U+2FB8	U+9996	#	
⾹	香	U+2FB9	U+9999	#	
⾺	馬	U+2FBA	U+99AC	#	
⾻	骨	U+2FBB	U+9AA8	#	
⾼	高	U+2FBC	U+9AD8	#	
⾽	髟	U+2FBD	U+9ADF	#	
⾾	鬥	U+2FBE	U+9B25	#	
⾿	鬯	U+2FBF	U+9B2F	#	
⿀	鬲	U+2FC0	U+9B32	#	
⿁	鬼	U+2FC1	U+9B3C	#	
⿂	魚	U+2FC2	U+9B5A	#	
⿃	鳥	U+2FC3	U+9CE5	#	
⿄	鹵	U+2FC4	U+9E75	#	
⿅	鹿	U+2FC5	U+9E7F	#	
⿆	麥	U+2FC6	U+9EA5	#	
⿇	麻	U+2FC7	U+9EBB	#	
⿈	黃	U+2FC8	U+9EC3	#	
⿉	黍	U+2FC9	U+9ECD	#	
⿊	黑	U+2FCA	U+9ED1	#	
⿋	黹	U+2FCB	U+9EF9	#	
⿌	黽	U+2FCC	U+9EFD	#	
⿍	鼎	U+2FCD	U+9F0E	#	
⿎	鼓	U+2FCE	U+9F13	#	
⿏	鼠	U+2FCF	U+9F20	#	
⿐	鼻	U+2FD0	U+9F3B	#	
⿑	齊	U+2FD1	U+9F4A	#	
⿒	齒	U+2FD2	U+9F52	#	
⿓	龍	U+2FD3	U+9F8D	#	
⿔	龜	U+2FD4	U+9F9C	#	*
⿕	龠	U+2FD5	U+9FA0	#	
〸	十	U+3038	U+5341	#	
〹	卄	U+3039	U+5344	#	
〺	卅	U+303A	U+5345	#	
イ	亻	U+30A4	U+4EBB	#	
エ	工	U+30A8	U+5DE5	#	
カ	力	U+30AB	U+529B	#	
タ	夕	U+30BF	U+5915	#	
ト	卜	U+30C8	U+535C	#	
ニ	二	U+30CB	U+4E8C	#	
ハ	八	U+30CF	U+516B	#	
ロ	口	U+30ED	U+53E3	#	
ㄦ	儿	U+3126	U+513F	#	
㇖	乛	U+31D6	U+4E5B	#	
㇚	亅	U+31DA	U+4E85	#	
㇟	乚	U+31DF	U+4E5A	#	
㇠	乙	U+31E0	U+4E59	#	
豈	豈	U+F900	U+8C48	#	
更	更	U+F901	U+66F4	#	
車	車	U+F902	U+8ECA	#	
賈	賈	U+F903	U+8CC8	#	
滑	滑	U+F904	U+6ED1	#	
串	串	U+F905	U+4E32	#	
句	句	U+F906	U+53E5	#	
龜	龜	U+F907	U+9F9C	#	*
龜	龜	U+F908	U+9F9C	#	*
契	契	U+F909	U+5951	#	
金	金	U+F90A	U+91D1	#	
喇	喇	U+F90B	U+5587	#	
奈	奈	U+F90C	U+5948	#	
懶	懶	U+F90D	U+61F6	#	
癩	癩	U+F90E	U+7669	#	
羅	羅	U+F90F	U+7F85	#	
蘿	蘿	U+F910	U+863F	#	
螺	螺	U+F911	U+87BA	#	
裸	裸	U+F912	U+88F8	#	
邏	邏	U+F913	U+908F	#	
樂	樂	U+F914	U+6A02	#	
洛	洛	U+F915	U+6D1B	#	
烙	烙	U+F916	U+70D9	#	
珞	珞	U+F917	U+73DE	#	
落	落	U+F918	U+843D	#	
酪	酪	U+F919	U+916A	#	
駱	駱	U+F91A	U+99F1	#	
亂	亂	U+F91B	U+4E82	#	
卵	卵	U+F91C	U+5375	#	
欄	欄	U+F91D	U+6B04	#	
爛	爛	U+F91E	U+721B	#	
蘭	蘭	U+F91F	U+862D	#	
鸞	鸞	U+F920	U+9E1E	#	
嵐	嵐	U+F921	U+5D50	#	
濫	濫	U+F922	U+6FEB	#	
藍	藍	U+F923	U+85CD	#	
襤	襤	U+F924	U+8964	#	
拉	拉	U+F925	U+62C9	#	
臘	臘	U+F926	U+81D8	#	
蠟	蠟	U+F927	U+881F	#	
廊	廊	U+F928	U+5ECA	#	
朗	朗	U+F929	U+6717	#	
浪	浪	U+F92A	U+6D6A	#	
狼	狼	U+F92B	U+72FC	#	
郎	郎	U+F92C	U+90CE	#	
來	來	U+F92D	U+4F86	#	
冷	冷	U+F92E	U+51B7	#	
勞	勞	U+F92F	U+52DE	#	
擄	擄	U+F930	U+64C4	#	
櫓	櫓	U+F931	U+6AD3	#	
爐	爐	U+F932	U+7210	#	
盧	盧	U+F933	U+76E7	#	
老	老	U+F934	U+8001	#	
蘆	蘆	U+F935	U+8606	#	
虜	虜	U+F936	U+865C	#	
路	路	U+F937	U+8DEF	#	
露	露	U+F938	U+9732	#	
魯	魯	U+F939	U+9B6F	#	
鷺	鷺	U+F93A	U+9DFA	#	
碌	碌	U+F93B	U+788C	#	
祿	祿	U+F93C	U+797F	#	
綠	綠	U+F93D	U+7DA0	#	
菉	菉	U+F93E	U+83C9	#	
錄	錄	U+F93F	U+9304	#	
鹿	鹿	U+F940	U+9E7F	#	
論	論	U+F941	U+8AD6	#	
壟	壟	U+F942	U+58DF	#	
弄	弄	U+F943	U+5F04	#	
籠	籠	U+F944	U+7C60	#	
聾	聾	U+F945	U+807E	#	
牢	牢	U+F946	U+7262	#	
磊	磊	U+F947	U+78CA	#	
賂	賂	U+F948	U+8CC2	#	
雷	雷	U+F949	U+96F7	#	
壘	壘	U+F94A	U+58D8	#	
屢	屢	U+F94B	U+5C62	#	
樓	樓	U+F94C	U+6A13	#	
淚	淚	U+F94D	U+6DDA	#	
漏	漏	U+F94E	U+6F0F	#	
累	累	U+F94F	U+7D2F	#	
縷	縷	U+F950	U+7E37	#	
陋	陋	U+F951	U+964B	#	
勒	勒	U+F952	U+52D2	#	
肋	肋	U+F953	U+808B	#	
凜	凜	U+F954	U+51DC	#	
凌	凌	U+F955	U+51CC	#	
稜	稜	U+F956	U+7A1C	#	
綾	綾	U+F957	U+7DBE	#	
菱	菱	U+F958	U+83F1	#	
陵	陵	U+F959	U+9675	#	
讀	讀	U+F95A	U+8B80	#	
拏	拏	U+F95B	U+62CF	#	
樂	樂	U+F95C	U+6A02	#	
諾	諾	U+F95D	U+8AFE	#	
丹	丹	U+F95E	U+4E39	#	
寧	寧	U+F95F	U+5BE7	#	
怒	怒	U+F960	U+6012	#	
率	率	U+F961	U+7387	#	
異	異	U+F962	U+7570	#	
北	北	U+F963	U+5317	#	
磻	磻	U+F964	U+78FB	#	
便	便	U+F965	U+4FBF	#	
復	復	U+F966	U+5FA9	#	
不	不	U+F967	U+4E0D	#	
泌	泌	U+F968	U+6CCC	#	
數	數	U+F969	U+6578	#	
索	索	U+F96A	U+7D22	#	
參	參	U+F96B	U+53C3	#	
塞	塞	U+F96C	U+585E	#	
省	省	U+F96D	U+7701	#	
葉	葉	U+F96E	U+8449	#	
說	說	U+F96F	U+8AAA	#	
殺	殺	U+F970	U+6BBA	#	
辰	辰	U+F971	U+8FB0	#	
沈	沈	U+F972	U+6C88	#	
拾	拾	U+F973	U+62FE	#	
若	若	U+F974	U+82E5	#	
掠	掠	U+F975	U+63A0	#	
略	略	U+F976	U+7565	#	
亮	亮	U+F977	U+4EAE	#	
兩	兩	U+F978	U+5169	#	
凉	凉	U+F979	U+51C9	#	
梁	梁	U+F97A	U+6881	#	
糧	糧	U+F97B	U+7CE7	#	
良	良	U+F97C	U+826F	#	
諒	諒	U+F97D	U+8AD2	#	
量	量	U+F97E	U+91CF	#	
勵	勵	U+F97F	U+52F5	#	
呂	呂	U+F980	U+5442	#	
女	女	U+F981	U+5973	#	
廬	廬	U+F982	U+5EEC	#	
旅	旅	U+F983	U+65C5	#	
濾	濾	U+F984	U+6FFE	#	
礪	礪	U+F985	U+792A	#	
閭	閭	U+F986	U+95AD	#	
驪	驪	U+F987	U+9A6A	#	
麗	麗	U+F988	U+9E97	#	
黎	黎	U+F989	U+9ECE	#	
力	力	U+F98A	U+529B	#	
曆	曆	U+F98B	U+66C6	#	
歷	歷	U+F98C	U+6B77	#	
轢	轢	U+F98D	U+8F62	#	
年	年	U+F98E	U+5E74	#	
憐	憐	U+F98F	U+6190	#	
戀	戀	U+F990	U+6200	#	
撚	撚	U+F991	U+649A	#	
漣	漣	U+F992	U+6F23	#	
煉	煉	U+F993	U+7149	#	
璉	璉	U+F994	U+7489	#	
秊	秊	U+F995	U+79CA	#	
練	練	U+F996	U+7DF4	#	
聯	聯	U+F997	U+806F	#	
輦	輦	U+F998	U+8F26	#	
蓮	蓮	U+F999	U+84EE	#	
連	連	U+F99A	U+9023	#	
鍊	鍊	U+F99B	U+934A	#	
列	列	U+F99C	U+5217	#	
劣	劣	U+F99D	U+52A3	#	
咽	咽	U+F99E	U+54BD	#	
烈	烈	U+F99F	U+70C8	#	
裂	裂	U+F9A0	U+88C2	#	
說	說	U+F9A1	U+8AAA	#	
廉	廉	U+F9A2	U+5EC9	#	
念	念	U+F9A3	U+5FF5	#	
捻	捻	U+F9A4	U+637B	#	
殮	殮	U+F9A5	U+6BAE	#	
簾	簾	U+F9A6	U+7C3E	#	
獵	獵	U+F9A7	U+7375	#	
令	令	U+F9A8	U+4EE4	#	
囹	囹	U+F9A9	U+56F9	#	
寧	寧	U+F9AA	U+5BE7	#	
嶺	嶺	U+F9AB	U+5DBA	#	
怜	怜	U+F9AC	U+601C	#	
玲	玲	U+F9AD	U+73B2	#	
瑩	瑩	U+F9AE	U+7469	#	
羚	羚	U+F9AF	U+7F9A	#	
聆	聆	U+F9B0	U+8046	#	
鈴	鈴	U+F9B1	U+9234	#	
零	零	U+F9B2	U+96F6	#	
靈	靈	U+F9B3	U+9748	#	
領	領	U+F9B4	U+9818	#	
例	例	U+F9B5	U+4F8B	#	
禮	禮	U+F9B6	U+79AE	#	
醴	醴	U+F9B7	U+91B4	#	
隸	隷	U+F9B8	U+96B7	#	
惡	惡	U+F9B9	U+60E1	#	
了	了	U+F9BA	U+4E86	#	
僚	僚	U+F9BB	U+50DA	#	
寮	寮	U+F9BC	U+5BEE	#	
尿	尿	U+F9BD	U+5C3F	#	
料	料	U+F9BE	U+6599	#	
樂	樂	U+F9BF	U+6A02	#	
燎	燎	U+F9C0	U+71CE	#	
療	療	U+F9C1	U+7642	#	
蓼	蓼	U+F9C2	U+84FC	#	
遼	遼	U+F9C3	U+907C	#	
龍	龍	U+F9C4	U+9F8D	#	
暈	暈	U+F9C5	U+6688	#	
阮	阮	U+F9C6	U+962E	#	
劉	劉	U+F9C7	U+5289	#	
杻	杻	U+F9C8	U+677B	#	
柳	柳	U+F9C9	U+67F3	#	
流	流	U+F9CA	U+6D41	#	
溜	溜	U+F9CB	U+6E9C	#	
琉	琉	U+F9CC	U+7409	#	
留	留	U+F9CD	U+7559	#	
硫	硫	U+F9CE	U+786B	#	
紐	紐	U+F9CF	U+7D10	#	
類	類	U+F9D0	U+985E	#	
六	六	U+F9D1	U+516D	#	
戮	戮	U+F9D2	U+622E	#	
陸	陸	U+F9D3	U+9678	#	
倫	倫	U+F9D4	U+502B	#	
崙	崙	U+F9D5	U+5D19	#	
淪	淪	U+F9D6	U+6DEA	#	
輪	輪	U+F9D7	U+8F2A	#	
律	律	U+F9D8	U+5F8B	#	
慄	慄	U+F9D9	U+6144	#	
栗	栗	U+F9DA	U+6817	#	
率	率	U+F9DB	U+7387	#	
隆	隆	U+F9DC	U+9686	#	
利	利	U+F9DD	U+5229	#	
吏	吏	U+F9DE	U+540F	#	
履	履	U+F9DF	U+5C65	#	
易	易	U+F9E0	U+6613	#	
李	李	U+F9E1	U+674E	#	
梨	梨	U+F9E2	U+68A8	#	
泥	泥	U+F9E3	U+6CE5	#	
理	理	U+F9E4	U+7406	#	
痢	痢	U+F9E5	U+75E2	#	
罹	罹	U+F9E6	U+7F79	#	
裏	裏	U+F9E7	U+88CF	#	
裡	裡	U+F9E8	U+88E1	#	
里	里	U+F9E9	U+91CC	#	
離	離	U+F9EA	U+96E2	#	
匿	匿	U+F9EB	U+533F	#	
溺	溺	U+F9EC	U+6EBA	#	
吝	吝	U+F9ED	U+541D	#	
燐	燐	U+F9EE	U+71D0	#	
璘	璘	U+F9EF	U+7498	#	
藺	藺	U+F9F0	U+85FA	#	
隣	隣	U+F9F1	U+96A3	#	
鱗	鱗	U+F9F2	U+9C57	#	
麟	麟	U+F9F3	U+9E9F	#	
林	林	U+F9F4	U+6797	#	
淋	淋	U+F9F5	U+6DCB	#	
臨	臨	U+F9F6	U+81E8	#	
立	立	U+F9F7	U+7ACB	#	
笠	笠	U+F9F8	U+7B20	#	
粒	粒	U+F9F9	U+7C92	#	
狀	狀	U+F9FA	U+72C0	#	
炙	炙	U+F9FB	U+7099	#	
識	識	U+F9FC	U+8B58	#	
什	什	U+F9FD	U+4EC0	#	
茶	茶	U+F9FE	U+8336	#	
刺	刺	U+F9FF	U+523A	#	
切	切	U+FA00	U+5207	#	
度	度	U+FA01	U+5EA6	#	
拓	拓	U+FA02	U+62D3	#	
糖	糖	U+FA03	U+7CD6	#	
宅	宅	U+FA04	U+5B85	#	
洞	洞	U+FA05	U+6D1E	#	
暴	暴	U+FA06	U+66B4	#	
輻	輻	U+FA07	U+8F3B	#	
行	行	U+FA08	U+884C	#	
降	降	U+FA09	U+964D	#	
見	見	U+FA0A	U+898B	#	
廓	廓	U+FA0B	U+5ED3	#	
兀	兀	U+FA0C	U+5140	#	
嗀	嗀	U+FA0D	U+55C0	#	
塚	塚	U+FA10	U+585A	#	
晴	晴	U+FA12	U+6674	#	
凞	凞	U+FA15	U+51DE	#	
猪	猪	U+FA16	U+732A	#	
益	益	U+FA17	U+76CA	#	
礼	礼	U+FA18	U+793C	#	
神	神	U+FA19	U+795E	#	
祥	祥	U+FA1A	U+7965	#	
福	福	U+FA1B	U+798F	#	
靖	靖	U+FA1C	U+9756	#	
精	精	U+FA1D	U+7CBE	#	
羽	羽	U+FA1E	U+7FBD	#	
蘒	蘒	U+FA20	U+8612	#	
諸	諸	U+FA22	U+8AF8	#	
逸	逸	U+FA25	U+9038	#	
都	都	U+FA26	U+90FD	#	
飯	飯	U+FA2A	U+98EF	#	
飼	飼	U+FA2B	U+98FC	#	
館	館	U+FA2C	U+9928	#	
鶴	鶴	U+FA2D	U+9DB4	#	
郞	郎	U+FA2E	U+90CE	#	
隷	隷	U+FA2F	U+96B7	#	
侮	侮	U+FA30	U+4FAE	#	
僧	僧	U+FA31	U+50E7	#	
免	免	U+FA32	U+514D	#	
